iter	Passed	Remaining
404	7933	11655
405	7952	11634
406	7981	11628
407	8001	11609
408	8019	11588
409	8037	11566
410	8056	11545
411	8077	11527
412	8096	11507
413	8115	11487
414	8132	11464
415	8153	11446
416	8174	11428
417	8191	11406
418	8213	11388
419	8231	11367
420	8250	11346
421	8265	11320
422	8286	11302
423	8305	11283
424	8324	11262
425	8344	11243
426	8363	11223
427	8384	11204
428	8403	11185
429	8422	11164
430	8441	11143
431	8459	11123
432	8478	11102
433	8498	11082
434	8516	11062
435	8536	11042
436	8556	11024
437	8577	11005
438	8597	10987
439	8617	10967
440	8635	10946
441	8654	10926
442	8673	10905
443	8692	10885
444	8712	10866
445	8730	10844
446	8749	10824
447	8770	10806
448	8788	10785
449	8808	10766
450	8828	10746
451	8848	10727
452	8869	10709
453	8889	10690
454	8909	10672
455	8928	10652
456	8948	10633
457	8969	10614
458	8989	10595
459	9009	10576
460	9030	10558
461	9047	10536
462	9065	10514
463	9085	10494
464	9104	10474
465	9123	10455
466	9142	10434
467	9161	10414
468	9180	10394
469	9202	10377
470	9221	10357
471	9243	10339
472	9263	10320
473	9282	10301
474	9306	10286
475	9326	10266
476	9345	10247
477	9364	10226
478	9384	10206
479	9404	10187
480	9423	10167
481	9441	10147
482	9459	10125
483	9478	10105
484	9496	10084
485	9517	10065
486	9535	10044
487	9553	10023
488	9573	10004
489	9593	9984
490	9613	9966
491	9633	9947
492	9652	9926
493	9672	9907
494	9691	9886
495	9711	9867
496	9729	9846
497	9746	9825
498	9767	9806
499	9787	9787
500	9806	9767
501	9826	9748
502	9846	9728
503	9864	9707
504	9883	9687
505	9903	9668
506	9923	9649
507	9944	9631
508	9965	9613
509	9986	9594
510	10005	9574
511	10024	9554
512	10044	9535
513	10063	9515
514	10082	9495
515	10102	9475
516	10124	9458
517	10143	9438
518	10161	9417
519	10178	9395
520	10198	9376
521	10215	9354
522	10234	9334
523	10254	9315
524	10274	9295
525	10295	9277
526	10318	9261
527	10340	9243
528	10360	9224
529	10380	9205
530	10401	9187
531	10422	9168
532	10441	9148
533	10461	9129
534	10481	9110
535	10500	9089
536	10517	9068
537	10537	9048
538	10554	9027
539	10572	9006
540	10592	8987
541	10611	8966
542	10631	8947
543	10650	8927
544	10670	8908
545	10690	8889
546	10709	8868
547	10727	8847
548	10745	8827
549	10764	8807
550	10785	8788
551	10805	8769
552	10823	8748
553	10842	8728
