iter	MultiClass
203	0.4807162279
204	0.4803678057
205	0.4799895087
206	0.4797289022
207	0.4793571533
208	0.4790154741
209	0.4787020632
210	0.4782753385
211	0.4778190093
212	0.4773857201
213	0.4772952256
214	0.4770351637
215	0.4766413996
216	0.4762495759
217	0.4759061682
218	0.4756089831
219	0.4753398788
220	0.4749274933
221	0.4746340806
222	0.4741708069
223	0.4739947431
224	0.4737488283
225	0.4734481271
226	0.4731079108
227	0.4725937616
228	0.4724435248
229	0.471945166
230	0.4717226767
231	0.4714203742
232	0.4711662852
233	0.4707496067
234	0.4701579269
235	0.4699494508
236	0.4697894266
237	0.4695878517
238	0.4691496718
239	0.4689216821
240	0.4684591623
241	0.4683010956
242	0.4680157818
243	0.4675790937
244	0.4673771725
245	0.4671421436
246	0.4670003704
247	0.4667929251
248	0.4665552454
249	0.4662858709
250	0.4658837049
251	0.4655869549
252	0.4651892784
253	0.4648617219
254	0.4647113505
255	0.4644686717
256	0.4641207568
257	0.4635561715
258	0.463251856
259	0.4629925363
260	0.4626695152
261	0.4623779079
262	0.4622349249
263	0.4619353641
264	0.4616973093
265	0.4614882664
266	0.4610768321
267	0.4607020371
268	0.460305138
269	0.4600675075
270	0.4598776917
271	0.4597290577
272	0.4594017074
273	0.4588828264
274	0.4586311392
275	0.4584616549
276	0.4580204771
277	0.4577948023
278	0.4576230403
279	0.4572792036
280	0.4569168582
281	0.4566023435
282	0.456307349
283	0.4561427851
284	0.4559111063
285	0.4555368577
286	0.4550784105
287	0.4548040178
288	0.4546345104
289	0.454482896
290	0.4542516336
291	0.4540713848
292	0.4537668397
293	0.4534798847
294	0.453281639
295	0.4529638432
296	0.4526253565
297	0.4522571192
298	0.4521391633
299	0.4519277961
300	0.4517429185
301	0.4515565759
302	0.4514468814
303	0.4511815586
304	0.4509213816
305	0.450541963
306	0.4502259093
307	0.4500297669
308	0.4497548607
309	0.4495416654
310	0.449239473
311	0.4490409374
312	0.4489059668
313	0.4485998478
314	0.4484308992
315	0.4480532444
316	0.447616364
317	0.4473516431
318	0.4470788051
319	0.4469838103
320	0.4468269735
321	0.446586254
322	0.4464712234
323	0.4463650394
324	0.4461945805
325	0.4458781719
326	0.4456821917
327	0.4455254427
328	0.4452232326
329	0.4450975416
330	0.4448345978
331	0.4444460011
332	0.444319024
333	0.4440913468
334	0.4438836234
335	0.4434826999
336	0.4432977737
337	0.443019016
338	0.4428075979
339	0.4424806047
340	0.44237627
341	0.4422355846
342	0.4418313554
343	0.4416323007
344	0.4415216909
345	0.4413887252
346	0.4411368456
347	0.4409949177
348	0.4408023739
349	0.4404899298
350	0.4401893664
351	0.4399386377
352	0.4396822904
353	0.4393161614
354	0.4389456014
355	0.4387924347
356	0.4384512234
357	0.438103347
358	0.4378439458
359	0.437528894
360	0.4373064523
361	0.4370574482
362	0.4368586581
363	0.436535085
364	0.4363938676
365	0.4363034022
366	0.436081669
367	0.4357787352
368	0.4355487819
369	0.4353133826
370	0.4351796896
371	0.4349787759
372	0.434776518
373	0.4345626458
374	0.4343874535
375	0.434121243
376	0.4339056387
377	0.4336575191
378	0.4335187179
379	0.4333277488
380	0.4332008066
381	0.4330013075
382	0.4328496564
383	0.4327086205
384	0.4325557121
385	0.4323053647
386	0.4320755388
387	0.4318274081
388	0.4317213063
389	0.4315284369
390	0.4312879509
391	0.4310646437
392	0.4308353653
393	0.4305483423
394	0.4303027888
395	0.4301397211
396	0.4298386656
397	0.4296977928
398	0.4294868356
399	0.4293473234
400	0.429192553
401	0.4290952026
402	0.4288141346
403	0.4285733485
404	0.4283748073
405	0.4282285201
406	0.427955801
407	0.4277314821
408	0.4275659529
409	0.4274276166
410	0.4272376058
411	0.4269876761
412	0.4268493286
413	0.4267251177
414	0.4265779555
415	0.4263022051
416	0.4261079407
417	0.4259995711
418	0.4256455229
419	0.4254784893
420	0.4251333365
421	0.4250207072
422	0.4249492857
423	0.4248005956
424	0.4246457443
425	0.424435771
426	0.4242662804
427	0.4240336897
428	0.4238392557
429	0.4236527418
430	0.4235846928
431	0.4234175113
432	0.4232331676
433	0.4230525361
434	0.4229098472
435	0.4227495293
436	0.4225866323
437	0.4223173103
438	0.4220821513
439	0.4219320856
440	0.4218309209
441	0.421616711
442	0.4214328705
443	0.4212074875
444	0.4210639964
445	0.4208260977
446	0.4206231793
447	0.4203926898
448	0.4203169834
449	0.4201249888
450	0.419901659
451	0.4197286889
452	0.4194497205
453	0.419340356
454	0.41917147
455	0.4190671705
456	0.4189066817
457	0.4187033713
458	0.4184976195
459	0.41828358
460	0.4180043424
461	0.4178971376
462	0.417787545
463	0.4176433714
464	0.4174978947
465	0.4172356226
466	0.4171542189
467	0.4170066695
468	0.4168317707
469	0.4165242709
470	0.4163569523
471	0.4160921539
472	0.4159043682
473	0.4158173279
474	0.4157350994
475	0.4155952652
476	0.4152994564
477	0.4151426788
478	0.4150449012
479	0.4148694206
480	0.4147295846
481	0.4146014682
482	0.4144721484
483	0.4143618844
484	0.4142933526
485	0.4141218353
486	0.414011448
487	0.4139126259
488	0.4136930655
489	0.4135952834
490	0.4132871435
491	0.4130850388
492	0.4129960681
493	0.4128425453
494	0.4127074249
495	0.4125335039
496	0.4124311471
497	0.4123224759
498	0.4120663945
499	0.4116608268
500	0.4115054747
501	0.4113420052
502	0.4112287411
503	0.411134691
504	0.4109858341
505	0.4107548869
506	0.4106081658
507	0.4103309587
508	0.410176347
509	0.4099493119
510	0.4098090139
511	0.4096695384
512	0.4094530754
513	0.4093217134
514	0.4091753291
515	0.4090512739
516	0.408644697
517	0.4085254316
518	0.4083968097
519	0.4082481027
520	0.4080450079
521	0.407926289
522	0.4078322995
523	0.407583074
524	0.4074799424
525	0.4072595317
526	0.4070210925
527	0.4068337394
528	0.4066782578
529	0.4064606873
530	0.4060357331
531	0.4058101611
532	0.4056322587
533	0.405509907
534	0.4053973147
535	0.4052433457
536	0.4051129075
537	0.4049894877
538	0.4049262013
539	0.4048398999
540	0.4046514103
541	0.4044794991
542	0.4043660452
543	0.4042037662
544	0.4040843733
545	0.4038697369
546	0.4037226531
547	0.4036042164
548	0.4034189295
549	0.403302322
550	0.4030434457
551	0.4028900948
552	0.4027936304
553	0.4026502741
554	0.4025041903
555	0.402305673
556	0.4021909847
557	0.4019600721
558	0.401839432
559	0.401583299
560	0.4013707987
561	0.4011369554
562	0.4010858666
563	0.4009847031
564	0.4007187832
565	0.4005828275
566	0.4004928407
567	0.4003265691
568	0.4002112152
569	0.4000739148
570	0.3998940338
571	0.3996397904
572	0.3994772313
573	0.3993318118
574	0.3991958978
575	0.3990539974
576	0.3989576622
577	0.3988180348
578	0.3986348936
579	0.3984559999
580	0.3983473171
581	0.3982506229
582	0.3980954467
583	0.3979274133
584	0.3977664155
585	0.3975989338
586	0.3975578472
587	0.3974064788
588	0.3971800974
589	0.3969659965
590	0.3968198499
591	0.3967203674
592	0.3963415003
593	0.3962020784
594	0.3960831486
595	0.3959698753
596	0.3958285641
597	0.3957113238
598	0.395510265
599	0.395298871
600	0.3951657251
601	0.395019424
602	0.3947892383
603	0.3947001513
604	0.3944929889
605	0.394204154
606	0.3941052212
607	0.3939597687
608	0.3936124147
609	0.3934188877
610	0.3933035819
611	0.3931396827
612	0.3930241877
613	0.3928662695
614	0.3927914472
615	0.3926225386
616	0.3925018088
617	0.3923852074
618	0.3922312907
619	0.3921034534
620	0.3919557372
621	0.39187452
622	0.3917692834
623	0.3916905038
624	0.391558588
625	0.3912916022
626	0.3912051504
627	0.3910243614
628	0.3908774477
629	0.3907019062
630	0.3905266518
631	0.3904665477
632	0.3903369978
633	0.3901470597
634	0.3900606224
635	0.3899423869
636	0.3898432012
637	0.3896525517
638	0.3895821829
639	0.3892889058
640	0.3891471095
641	0.3890807373
642	0.3888540855
643	0.3887563679
644	0.3886594752
645	0.3885979447
646	0.3884437913
647	0.3883138395
648	0.3881407957
649	0.3880311119
650	0.3878771868
651	0.387774803
652	0.3877084044
653	0.3875995833
654	0.3874839901
655	0.3874005369
656	0.3872740023
657	0.3871665898
658	0.3870848925
659	0.3869574129
660	0.3867809269
661	0.3867288372
662	0.3864889298
663	0.3863928056
664	0.3863065938
665	0.3861450936
666	0.3859539882
667	0.3857731011
668	0.3856277583
669	0.38551358
670	0.3853741298
671	0.3852248002
672	0.3851036833
673	0.3849181936
674	0.3847890093
675	0.3846644038
676	0.3845145934
677	0.3843549524
678	0.3842320445
679	0.3840176115
680	0.3838884203
681	0.3837339893
682	0.3836078926
683	0.3834892395
684	0.3833808657
685	0.3833234609
686	0.3832182782
687	0.3831127813
688	0.3830704591
689	0.383035828
690	0.3828829293
691	0.382710628
692	0.3825283558
693	0.3824361397
694	0.3823317976
695	0.3822476976
696	0.3821548112
697	0.3820718763
698	0.3819905257
699	0.3818518309
700	0.381705697
701	0.3816502884
702	0.38141821
703	0.3812793174
704	0.3812037238
705	0.3810895414
706	0.38096123
707	0.3807544883
708	0.3806634949
709	0.3805178811
710	0.3804222581
711	0.3803656526
712	0.380201644
713	0.3800916811
714	0.3799784966
715	0.3798498959
716	0.3796758193
717	0.3795748221
718	0.3794280876
719	0.3792999581
720	0.3792619738
721	0.3792185988
722	0.3791423104
723	0.3790500279
724	0.3789807281
725	0.3789079828
726	0.3788438161
727	0.3787900386
728	0.3786659781
729	0.3785957967
730	0.3784778447
731	0.3784202483
732	0.3782726313
733	0.3780866735
734	0.3779676445
735	0.3777913171
736	0.3776702939
737	0.3775766185
738	0.3773646365
739	0.3772796045
740	0.3770372665
741	0.3769233318
742	0.3768074906
743	0.3767166171
744	0.3765578789
745	0.3764274163
746	0.3762632786
747	0.3760018602
748	0.3757598799
749	0.3756192485
750	0.375527743
751	0.3753507592
752	0.375216756
753	0.3751459889
754	0.3750663895
755	0.3749166241
756	0.3747956174
757	0.3747021333
758	0.3746646521
759	0.3745487749
760	0.3744383787
761	0.3743794988
762	0.3743125929
763	0.3742103233
764	0.3740832197
765	0.3738945378
766	0.373778212
767	0.3735276241
768	0.3734124144
769	0.3732617476
770	0.3731244496
771	0.3730576638
772	0.3729134294
773	0.3727708879
774	0.3726424188
775	0.372520405
776	0.3723283204
777	0.3722847536
778	0.372154698
779	0.3721074604
780	0.3720150494
781	0.3719432603
782	0.3718394801
783	0.3716698468
784	0.3716292649
785	0.3715264881
786	0.3714207742
787	0.371231887
788	0.3711032564
789	0.3709866826
790	0.370896941
791	0.3707811816
792	0.3707436112
793	0.3705915949
794	0.3704443885
795	0.3703146131
796	0.3701551944
797	0.3700361045
798	0.3699403387
799	0.3698617406
800	0.3696736532
801	0.3695576285
802	0.3693728704
803	0.3692769859
804	0.3690732903
805	0.3690110506
806	0.3688516362
807	0.3687699355
808	0.3687032309
809	0.3686221087
810	0.3684995734
811	0.368421122
812	0.3682800914
813	0.3681944724
814	0.3681230236
815	0.3680430158
816	0.3679558822
817	0.3678646776
818	0.3676357268
819	0.3674810362
820	0.3673540856
821	0.3672812946
822	0.3670807517
823	0.3669333998
824	0.36678247
825	0.3666561533
826	0.3664951549
827	0.3664463494
828	0.3662443199
829	0.3661195853
830	0.365997136
831	0.3658888355
832	0.3657339197
833	0.3656467534
834	0.3655868808
835	0.3654089541
836	0.3652985796
837	0.3652623333
838	0.3651682767
839	0.3649602049
840	0.3648686317
841	0.3647566045
842	0.36472445
843	0.3645210602
844	0.3643877271
845	0.3642066845
846	0.3640947805
847	0.3639835631
848	0.36385902
849	0.3637097766
850	0.3636343871
851	0.3634969207
852	0.3633146916
853	0.3631945496
854	0.3631447424
855	0.3630321875
856	0.3629277568
857	0.3627913716
858	0.3627205511
859	0.3626232227
860	0.36249698
861	0.3623077329
862	0.3622598928
863	0.3621752234
864	0.3620614924
865	0.362032147
866	0.3618207723
867	0.3616605124
868	0.3616128503
869	0.3614344359
870	0.3613487487
871	0.361253616
872	0.361172421
873	0.361107281
874	0.3610116214
875	0.3608544478
876	0.3607050884
877	0.3604838529
878	0.36028884
879	0.3602121279
880	0.3601408425
881	0.3599500845
882	0.3598268524
883	0.3597523426
884	0.359627906
885	0.359491498
886	0.3594083764
887	0.3592683406
888	0.3590857709
889	0.3589829394
890	0.3588644646
891	0.3587953193
892	0.3587106226
893	0.3584433396
894	0.358344247
895	0.3582551375
896	0.3581080405
897	0.3580235893
898	0.3579048981
899	0.3577770322
900	0.3576800016
901	0.3575256697
902	0.357439498
903	0.3573097718
904	0.3572108087
905	0.3570448361
906	0.3568611094
907	0.3567408433
908	0.3566655544
909	0.356537796
910	0.356367466
911	0.3562984616
912	0.356188788
913	0.3560578579
914	0.3559683567
915	0.3558375266
916	0.3556912328
917	0.3555711659
918	0.3554707452
919	0.355349332
920	0.3552585182
921	0.3551033716
922	0.354940635
923	0.354871893
924	0.3546806528
925	0.3545665463
926	0.3544479728
927	0.3543580729
928	0.3542510114
929	0.3540973361
930	0.3539705958
931	0.3538490949
932	0.3536973352
933	0.3535137302
934	0.3534706112
935	0.3533848751
936	0.3532408079
937	0.3531569177
938	0.3530830196
939	0.3528845769
940	0.3526684662
941	0.3525848101
942	0.3524997188
943	0.3523896607
944	0.3523277999
945	0.3522146571
946	0.3520898704
947	0.3519825056
948	0.3518953314
949	0.3518262429
950	0.3517802245
951	0.3517383665
952	0.3515932643
953	0.351479461
954	0.351394233
955	0.3513182918
956	0.3512727612
957	0.3512485323
958	0.3511658103
959	0.3510808363
960	0.3509274661
961	0.3508391215
962	0.3507292231
963	0.350604628
964	0.3504918149
965	0.3503717725
966	0.3503284377
967	0.3502356949
968	0.3501463074
969	0.3500312773
970	0.3498253983
971	0.3496346653
972	0.3495186082
973	0.349382766
974	0.3493048043
975	0.349273669
976	0.3490614359
977	0.3489379423
978	0.3488523776
979	0.3487276156
980	0.3486488728
981	0.3485755612
982	0.3485433322
983	0.3484007689
984	0.348325072
985	0.3482496324
986	0.348180985
987	0.348075536
988	0.3479548052
989	0.3477550702
990	0.3476641877
991	0.3475829431
992	0.3474692999
993	0.3474068421
994	0.347358959
995	0.347263996
996	0.347169715
997	0.3471182239
998	0.3469459271
999	0.3468324652
